"date.value","campaign.id","adProduct.value","metric.totalCost","budgetCurrency.value"
"2026-02-27","124202126398060","Sponsored Products","1.84","USD"
"2026-02-18","141552428309171","Sponsored Products","87.11","USD"
"2026-02-05","454564300195235","Sponsored Products","0.75","GBP"
"2026-02-24","39061317933304","Sponsored Products","0.00","USD"
"2026-02-24","93539819506468","Sponsored Products","6.58","USD"
"2026-02-04","495242868805173","Sponsored Products","0.00","GBP"
"2026-02-01","54673378227395","Sponsored Products","0.52","USD"
"2026-02-05","149942312994880","Sponsored Products","0.00","USD"
"2026-02-01","557802220335065","Sponsored Products","0.00","CAD"
"2026-02-14","281110747056753","Sponsored Products","0.00","USD"
"2026-02-13","48192245895031","Sponsored Products","0.00","USD"
"2026-02-11","207367106415924","Sponsored Products","8.05","GBP"
"2026-02-05","113013759920940","Sponsored Products","0.86","USD"
"2026-02-24","434170639918769","Sponsored Brands","0.28","USD"
"2026-02-07","354036750973331","Sponsored Products","2.90","CAD"
"2026-02-14","255100442617527","Sponsored Products","3.94","USD"
"2026-02-06","243204708497477","Sponsored Products","0.00","USD"
"2026-02-01","494590942145867","Sponsored Products","30.80","CAD"
"2026-02-10","517050919084211","Sponsored Products","0.00","CAD"
"2026-02-13","186804517918072","Sponsored Products","2.35","USD"
"2026-02-02","288669281122601","Sponsored Products","0.00","AUD"
"2026-02-07","398122169001461","Sponsored Products","1.48","AUD"
"2026-02-25","255100442617527","Sponsored Products","1.68","USD"
"2026-02-07","145958940968220","Sponsored Products","0.00","USD"
"2026-02-01","555379102425019","Sponsored Products","1.37","CAD"
"2026-02-10","366616645988820","Sponsored Products","0.00","CAD"
"2026-02-05","511828144987995","Sponsored Products","1.00","GBP"
"2026-02-11","168803396873792","Sponsored Products","1.26","USD"
"2026-02-21","539931100075119","Sponsored Brands","8.49","USD"
"2026-02-04","261659564571062","Sponsored Products","0.00","USD"
"2026-02-18","463874563272935","Sponsored Brands","0.00","AUD"
"2026-02-12","134777743429986","Sponsored Products","0.00","USD"
"2026-02-06","263910374759225","Sponsored Products","12.49","CAD"
"2026-02-09","484271755377666","Sponsored Products","0.00","CAD"
"2026-02-06","286601245904247","Sponsored Products","0.00","CAD"
"2026-02-14","314318800479242","Sponsored Products","0.00","AUD"
"2026-02-07","32571611634774","Sponsored Products","1.35","USD"
"2026-02-02","270513944391898","Sponsored Products","8.14","USD"
"2026-02-07","176992507771254","Sponsored Products","1.27","USD"
"2026-02-10","300354268849742","Sponsored Brands","0.55","CAD"
"2026-02-07","317772463042332","Sponsored Products","0.00","AUD"
"2026-02-21","189380234928822","Sponsored Products","0.00","USD"
"2026-02-09","18193170148935","Sponsored Products","0.00","USD"
"2026-02-19","138135222992233","Sponsored Products","0.00","USD"
"2026-02-24","156989235380210","Sponsored Products","306.94","USD"
"2026-02-18","453754530299965","Sponsored Brands","14.36","USD"
"2026-02-03","241960271286519","Sponsored Products","0.00","USD"
"2026-02-08","530911335551258","Sponsored Products","0.00","CAD"
"2026-02-05","423471492340141","Sponsored Brands","15.08","USD"
"2026-02-11","48192245895031","Sponsored Products","0.00","USD"
"2026-02-14","154085784178560","Sponsored Products","0.00","USD"
"2026-02-22","243038183553247","Sponsored Products","0.81","USD"
"2026-02-12","133243849204741","Sponsored Products","0.00","USD"
"2026-02-02","121446500477002","Sponsored Products","0.00","USD"
"2026-02-05","270513944391898","Sponsored Products","12.75","USD"
"2026-02-01","83677388471868","Sponsored Products","2.87","USD"
"2026-02-13","189380234928822","Sponsored Products","0.00","USD"
"2026-02-11","373593607967581","Sponsored Display","0.00","AUD"
"2026-02-09","210638600694486","Sponsored Products","0.60","USD"
"2026-02-04","267283875717235","Sponsored Products","0.00","USD"
"2026-02-23","257373022214500","Sponsored Products","1.23","USD"
"2026-02-19","491366396962687","Sponsored Brands","2.73","USD"
"2026-02-01","215966552761313","Sponsored Products","0.00","USD"
"2026-02-06","297335215332435","Sponsored Products","1.63","CAD"
"2026-02-04","443805539282973","Sponsored Brands","0.00","CAD"
"2026-02-12","267283875717235","Sponsored Products","0.00","USD"
"2026-02-02","383486487068158","Sponsored Display","6.61","GBP"
"2026-02-01","363048566293204","Sponsored Brands","0.00","GBP"
"2026-02-13","204544178017947","Sponsored Products","1.39","USD"
"2026-02-01","428914757065848","Sponsored Products","11.33","CAD"
"2026-02-10","443207948405482","Sponsored Products","0.00","CAD"
"2026-02-19","141648422510979","Sponsored Products","0.00","USD"
"2026-02-03","357384467879967","Sponsored Brands","15.12","USD"
"2026-02-05","243038183553247","Sponsored Products","0.00","USD"
"2026-02-05","310318758176650","Sponsored Products","0.00","CAD"
"2026-02-25","296615200458181","Sponsored Brands","11.57","USD"
"2026-02-17","189380234928822","Sponsored Products","0.00","USD"
"2026-02-05","9627520751858","Sponsored Products","4.41","USD"
"2026-02-14","18193170148935","Sponsored Products","0.00","USD"
"2026-02-23","452065263384491","Sponsored Brands","2.69","USD"
"2026-02-06","344717374719347","Sponsored Display","0.00","CAD"
"2026-02-01","140453739775668","Sponsored Products","0.00","USD"
"2026-02-12","96060745446945","Sponsored Products","0.00","USD"
"2026-02-09","278626821184075","Sponsored Products","5.98","USD"
"2026-02-04","83677388471868","Sponsored Products","0.00","USD"
"2026-02-20","61503627186513","Sponsored Products","0.00","USD"
"2026-02-18","14582572617569","Sponsored Products","0.00","USD"
"2026-02-11","323864334787492","Sponsored Products","0.00","AUD"
"2026-02-11","467633236874996","Sponsored Products","0.00","AUD"
"2026-02-20","281024885672869","Sponsored Products","0.00","USD"
"2026-02-27","148265992493931","Sponsored Products","1.77","USD"
"2026-02-13","121446500477002","Sponsored Products","0.70","USD"
"2026-02-25","67855357390881","Sponsored Products","3.68","USD"
"2026-02-17","96060745446945","Sponsored Products","0.00","USD"
"2026-02-09","409249674990450","Sponsored Products","0.06","AUD"
"2026-02-14","441925918527435","Sponsored Brands","4.18","USD"
"2026-02-14","9627520751858","Sponsored Products","12.91","USD"
"2026-02-10","239695922795958","Sponsored Products","0.00","USD"
"2026-02-13","452065263384491","Sponsored Brands","0.41","USD"
"2026-02-27","269935586939823","Sponsored Products","13.85","CAD"
"2026-02-09","443207948405482","Sponsored Products","0.00","CAD"
"2026-02-02","61090477012622","Sponsored Products","33.07","USD"
"2026-02-03","226743970768774","Sponsored Products","3.12","USD"
"2026-02-05","392537273853228","Sponsored Brands","0.00","AUD"
"2026-02-01","386920533914758","Sponsored Brands","0.00","CAD"
"2026-02-05","261659564571062","Sponsored Products","1.49","USD"
"2026-02-13","239677460933975","Sponsored Products","17.71","USD"
"2026-02-20","149626049979530","Sponsored Products","0.00","USD"
"2026-02-08","205764417979436","Sponsored Products","0.00","USD"
"2026-02-02","482686146435604","Sponsored Brands","2.41","USD"
"2026-02-23","192420944790293","Sponsored Products","26.31","GBP"
"2026-02-21","495677195822245","Sponsored Brands","0.00","USD"
"2026-02-11","48433117829801","Sponsored Products","19.13","USD"
"2026-02-10","42141939819441","Sponsored Products","0.00","USD"
"2026-02-15","204544178017947","Sponsored Products","1.53","USD"
"2026-02-02","459130146103681","Sponsored Display","1.64","AUD"
"2026-02-01","34478632960968","Sponsored Products","10.92","USD"
"2026-02-03","278400043801722","Sponsored Products","0.19","GBP"
"2026-02-10","96473122408354","Sponsored Products","0.00","USD"
"2026-02-20","158724595401869","Sponsored Products","0.00","USD"
"2026-02-04","309601314328778","Sponsored Products","0.00","CAD"
"2026-02-23","27661898820374","Sponsored Products","0.00","USD"
"2026-02-21","192968792078402","Sponsored Products","0.00","USD"
"2026-02-22","149626049979530","Sponsored Products","0.00","USD"
"2026-02-02","280528554873543","Sponsored Products","1.59","USD"
"2026-02-07","303344079444236","Sponsored Brands","0.56","GBP"
"2026-02-01","58475731073369","Sponsored Products","0.81","USD"
"2026-02-25","149818563042691","Sponsored Products","0.00","USD"
"2026-02-03","96473122408354","Sponsored Products","0.00","USD"
"2026-02-19","8078369968995","Sponsored Products","0.00","USD"
"2026-02-23","263531397076178","Sponsored Products","0.00","USD"
"2026-02-04","448149727236636","Sponsored Products","0.00","AUD"
"2026-02-24","215176800738804","Sponsored Products","0.00","USD"
"2026-02-22","172779439196738","Sponsored Products","0.00","USD"
"2026-02-21","126638359335345","Sponsored Products","0.86","USD"
"2026-02-13","22348745290500","Sponsored Products","0.00","USD"
"2026-02-16","192420944790293","Sponsored Products","4.19","GBP"
"2026-02-12","101459965063202","Sponsored Products","35.46","USD"
"2026-02-18","560000811916391","Sponsored Brands","16.03","USD"
"2026-02-14","198809778193730","Sponsored Products","17.18","USD"
"2026-02-08","303344079444236","Sponsored Brands","0.00","GBP"
"2026-02-28","22515666501366","Sponsored Products","2.54","USD"
"2026-02-16","276488907454289","Sponsored Products","0.00","USD"
"2026-02-08","281110747056753","Sponsored Products","0.00","USD"
"2026-02-23","188545556962991","Sponsored Products","0.00","USD"
"2026-02-22","187735718741416","Sponsored Products","0.00","USD"
"2026-02-01","392699328377229","Sponsored Products","0.00","AUD"
"2026-02-18","281024885672869","Sponsored Products","0.00","USD"
"2026-02-23","115758363210245","Sponsored Products","2.08","USD"
"2026-02-06","407444835513369","Sponsored Brands","2.92","CAD"
"2026-02-23","545989665090053","Sponsored Brands","1.69","GBP"
"2026-02-05","154085784178560","Sponsored Products","0.00","USD"
"2026-02-14","28565058702355","Sponsored Products","2.55","USD"
"2026-02-02","494994223093944","Sponsored Brands","0.00","AUD"
"2026-02-05","453239686745418","Sponsored Products","0.25","GBP"
"2026-02-08","262727752997615","Sponsored Products","0.00","USD"
"2026-02-15","148265992493931","Sponsored Products","0.00","USD"
"2026-02-05","263531397076178","Sponsored Products","0.00","USD"
"2026-02-09","504962652065858","Sponsored Brands","0.00","AUD"
"2026-02-27","407444835513369","Sponsored Brands","0.00","CAD"
"2026-02-26","303344079444236","Sponsored Brands","0.00","GBP"
"2026-02-15","22348745290500","Sponsored Products","0.00","USD"
"2026-02-14","53404531347848","Sponsored Products","2.66","USD"
"2026-02-17","138135222992233","Sponsored Products","0.00","USD"
"2026-02-03","473740316381787","Sponsored Products","7.86","GBP"
"2026-02-20","32030113168570","Sponsored Products","0.87","USD"
