"date.value","campaign.id","adProduct.value","metric.totalCost","budgetCurrency.value"
"2026-04-21","224639482376841","Sponsored Products","1.23","USD"
"2026-04-18","55109131448748","Sponsored Products","0.00","USD"
"2026-04-02","141648422510979","Sponsored Products","0.00","USD"
"2026-04-23","48433117829801","Sponsored Products","1.53","USD"
"2026-04-27","140453739775668","Sponsored Products","0.00","USD"
"2026-04-30","272711015971799","Sponsored Products","3.47","USD"
"2026-04-05","153491409585454","Sponsored Products","0.00","USD"
"2026-04-05","259323671730401","Sponsored Products","6.12","USD"
"2026-04-01","81320226496883","Sponsored Products","0.00","USD"
"2026-04-09","243504419948461","Sponsored Products","0.00","USD"
"2026-04-29","203521351461363","Sponsored Products","0.00","USD"
"2026-04-17","452065263384491","Sponsored Brands","0.90","USD"
"2026-04-20","177040838827269","Sponsored Products","0.00","CAD"
"2026-04-27","116965962095342","Sponsored Products","0.00","USD"
"2026-04-28","31806545713281","Sponsored Products","0.00","CAD"
"2026-04-30","42141939819441","Sponsored Products","0.00","USD"
"2026-04-16","22515666501366","Sponsored Products","0.00","USD"
"2026-04-16","215176800738804","Sponsored Products","0.00","USD"
"2026-04-19","207367106415924","Sponsored Products","21.19","GBP"
"2026-04-01","495677195822245","Sponsored Brands","2.21","USD"
"2026-04-28","254109808305934","Sponsored Products","1.46","USD"
"2026-04-24","30179169319725","Sponsored Products","5.90","AUD"
"2026-04-19","120274159023818","Sponsored Products","0.00","USD"
"2026-04-23","202228555422966","Sponsored Products","0.00","USD"
"2026-04-22","7858512618685","Sponsored Products","0.00","CAD"
"2026-04-25","239175797857758","Sponsored Products","0.76","USD"
"2026-04-08","158724595401869","Sponsored Products","0.00","USD"
"2026-04-22","259323671730401","Sponsored Products","9.94","USD"
"2026-04-06","284096201830626","Sponsored Display","0.01","USD"
"2026-04-13","61837188685116","Sponsored Products","0.00","USD"
"2026-04-27","82064097659476","Sponsored Products","4.53","USD"
"2026-04-24","263026275901184","Sponsored Products","0.00","USD"
"2026-04-16","152555236474228","Sponsored Products","0.00","USD"
"2026-04-17","120274159023818","Sponsored Products","0.00","USD"
"2026-04-23","215176800738804","Sponsored Products","1.14","USD"
"2026-04-11","271002646812055","Sponsored Products","0.00","USD"
"2026-04-09","61090477012622","Sponsored Products","0.00","USD"
"2026-04-23","121312597844930","Sponsored Products","0.00","CAD"
"2026-04-04","140453739775668","Sponsored Products","0.00","USD"
"2026-04-21","267283875717235","Sponsored Products","1.04","USD"
"2026-04-28","198809778193730","Sponsored Products","48.68","USD"
"2026-04-28","121559999896526","Sponsored Products","0.59","CAD"
"2026-04-09","175777768252798","Sponsored Products","0.00","USD"
"2026-04-17","261659564571062","Sponsored Products","0.00","USD"
"2026-04-13","204544178017947","Sponsored Products","0.00","USD"
"2026-04-28","380662946968621","Sponsored Display","0.13","USD"
"2026-04-14","455688132780953","Sponsored Brands","0.00","USD"
"2026-04-23","138135222992233","Sponsored Products","0.00","USD"
"2026-04-07","269935586939823","Sponsored Products","6.97","CAD"
"2026-04-21","162781488442631","Sponsored Products","0.00","CAD"
"2026-04-19","141552428309171","Sponsored Products","16.33","USD"
"2026-04-15","269935586939823","Sponsored Products","1.13","CAD"
"2026-04-25","455100983218716","Sponsored Brands","5.40","USD"
"2026-04-02","186804517918072","Sponsored Products","1.56","USD"
"2026-04-11","210638600694486","Sponsored Products","0.53","USD"
"2026-04-01","434170639918769","Sponsored Brands","2.41","USD"
"2026-04-04","115758363210245","Sponsored Products","1.18","USD"
"2026-04-10","82064097659476","Sponsored Products","1.92","USD"
"2026-04-18","205922105032655","Sponsored Products","0.00","USD"
"2026-04-04","495677195822245","Sponsored Brands","0.00","USD"
"2026-04-05","152555236474228","Sponsored Products","0.00","USD"
"2026-04-09","115758363210245","Sponsored Products","4.46","USD"
"2026-04-17","1861066386589","Sponsored Products","0.00","USD"
"2026-04-17","276797522102375","Sponsored Products","2.21","USD"
"2026-04-04","83677388471868","Sponsored Products","0.00","USD"
"2026-04-29","128770506922317","Sponsored Products","4.41","USD"
"2026-04-21","39061317933304","Sponsored Products","0.00","USD"
"2026-04-28","160686618044289","Sponsored Products","2.90","CAD"
"2026-04-20","124202126398060","Sponsored Products","0.39","USD"
"2026-04-03","452065263384491","Sponsored Brands","0.67","USD"
"2026-04-25","1069464513580","Sponsored Products","0.00","USD"
"2026-04-08","407444835513369","Sponsored Brands","0.00","CAD"
"2026-04-23","108717111045331","Sponsored Products","2.72","CAD"
"2026-04-01","560000811916391","Sponsored Brands","4.57","USD"
"2026-04-29","145958940968220","Sponsored Products","0.00","USD"
"2026-04-20","219243809439026","Sponsored Products","0.00","CAD"
"2026-04-07","241960271286519","Sponsored Products","0.00","USD"
"2026-04-07","96060745446945","Sponsored Products","0.00","USD"
